name,host_star,ltr,disc_year,orb_period_ed,radius_e,temp_f,circumference_k,mass_e,density_e,temp_c,habit_code,solar_flux,circumference_m,disc_facility,disc_method
Kepler-1282 b,Kepler-1282,b,2016,2.13,1.55,2610.0,"62,047",3.0,0.8094,1630.0,0,672.53,"38,556",Kepler,Transit
Kepler-1283 b,Kepler-1283,b,2016,12.95,1.91,1433.0,"76,458",4.3,0.6171,976.0,0,80.34,"47,511",Kepler,Transit
Kepler-1284 b,Kepler-1284,b,2016,0.66,1.21,3123.0,"48,437",1.9,1.0817,1915.0,0,2190.08,"30,099",Kepler,Transit
Kepler-1285 b,Kepler-1285,b,2016,14.8,0.97,1631.0,"38,829",0.9,0.951,1086.0,0,181.59,"24,129",Kepler,Transit
Kepler-1286 b,Kepler-1286,b,2016,11.25,2.15,1656.0,"86,065",5.3,0.5281,1100.0,0,151.77,"53,482",Kepler,Transit
Kepler-1287 b,Kepler-1287,b,2016,11.48,1.54,1490.0,"61,646",3.0,0.8167,1008.0,0,78.16,"38,308",Kepler,Transit
Kepler-1288 b,Kepler-1288,b,2016,2.76,1.12,3688.0,"44,834",1.5,1.0363,2229.0,0,3906.36,"27,860",Kepler,Transit
Kepler-1289 b,Kepler-1289,b,2016,7.99,1.52,2061.0,"60,846",2.9,0.8294,1325.0,0,223.44,"37,810",Kepler,Transit
Kepler-129 b,Kepler-129,b,2014,15.79,2.37,1696.0,"94,872",6.2,0.4646,1122.0,0,158.31,"58,954",Kepler,Transit
Kepler-129 c,Kepler-129,c,2014,82.2,2.55,1003.0,"102,077",7.0,0.4229,737.0,0,17.55,"63,432",Kepler,Transit
Kepler-1290 b,Kepler-1290,b,2016,4.7,1.42,2034.0,"56,843",2.6,0.9056,1310.0,0,443.22,"35,323",Kepler,Transit
Kepler-1291 b,Kepler-1291,b,2016,8.63,1.66,1388.0,"66,450",3.4,0.7387,951.0,0,62.82,"41,293",Kepler,Transit
Kepler-1292 b,Kepler-1292,b,2016,3.28,1.82,2209.0,"72,855",4.0,0.657,1407.0,0,521.1,"45,273",Kepler,Transit
Kepler-1293 b,Kepler-1293,b,2016,5.58,0.97,2187.0,"38,829",0.9,0.951,1395.0,0,929.12,"24,129",Kepler,Transit
Kepler-1294 b,Kepler-1294,b,2016,115.69,3.19,779.0,"127,696",10.3,0.3158,613.0,0,12.36,"79,352",Kepler,Transit
Kepler-1295 b,Kepler-1295,b,2016,3.81,1.55,1910.0,"62,047",3.0,0.8094,1241.0,0,279.94,"38,556",Kepler,Transit
Kepler-1296 b,Kepler-1296,b,2016,8.38,0.91,2371.0,"36,427",0.7,0.9165,1497.0,0,399.01,"22,636",Kepler,Transit
Kepler-1297 b,Kepler-1297,b,2016,1.68,0.97,3280.0,"38,829",0.9,0.951,2002.0,0,2760.59,"24,129",Kepler,Transit
Kepler-1298 b,Kepler-1298,b,2016,7.13,1.31,2529.0,"52,440",2.3,1.0073,1585.0,0,1003.03,"32,586",Kepler,Transit
Kepler-1299 b,Kepler-1299,b,2016,19.94,2.98,1116.0,"119,290",9.2,0.3448,800.0,0,45.15,"74,128",Kepler,Transit
Kepler-130 b,Kepler-130,b,2014,8.46,1.02,1825.0,"40,831",1.0,0.9782,1194.0,0,221.73,"25,373",Kepler,Transit
Kepler-130 c,Kepler-130,c,2014,27.51,2.9,1287.0,"116,088",8.8,0.3575,895.0,0,46.01,"72,138",Kepler,Transit
Kepler-130 d,Kepler-130,d,2014,87.52,1.64,869.0,"65,649",3.3,0.7532,663.0,0,9.83,"40,795",Kepler,Transit
Kepler-1300 b,Kepler-1300,b,2016,22.24,1.37,1775.0,"54,841",2.4,0.951,1166.0,0,149.41,"34,079",Kepler,Transit
Kepler-1301 b,Kepler-1301,b,2016,9.08,1.4,1379.0,"56,042",2.5,0.9238,946.0,0,76.14,"34,825",Kepler,Transit
Kepler-1302 b,Kepler-1302,b,2016,8.84,1.43,1458.0,"57,243",2.6,0.8966,990.0,0,58.34,"35,571",Kepler,Transit
Kepler-1303 b,Kepler-1303,b,2016,7.56,1.42,1661.0,"56,843",2.6,0.9056,1103.0,0,182.38,"35,323",Kepler,Transit
Kepler-1304 b,Kepler-1304,b,2016,16.13,2.29,1345.0,"91,669",5.9,0.4864,927.0,0,61.87,"56,964",Kepler,Transit
Kepler-1305 b,Kepler-1305,b,2016,13.56,1.88,1377.0,"75,257",4.2,0.6298,945.0,0,103.51,"46,765",Kepler,Transit
Kepler-1306 b,Kepler-1306,b,2016,16.3,1.91,1278.0,"76,458",4.3,0.6171,890.0,0,52.15,"47,511",Kepler,Transit
Kepler-1307 b,Kepler-1307,b,2016,18.02,2.47,1440.0,"98,875",6.7,0.441,980.0,0,41.19,"61,442",Kepler,Transit
Kepler-1308 b,Kepler-1308,b,2016,2.1,0.52,1249.0,"20,816",0.1,0.6624,874.0,0,58.11,"12,935",Kepler,Transit
Kepler-1309 b,Kepler-1309,b,2016,28.84,2.37,941.0,"94,872",6.2,0.4646,703.0,0,13.77,"58,954",Kepler,Transit
Kepler-131 b,Kepler-131,b,2014,16.09,2.41,1350.0,"96,473",16.1,1.0889,930.0,0,66.12,"59,949",Kepler,Transit
Kepler-131 c,Kepler-131,c,2014,25.52,0.84,1165.0,"33,625",8.2,14.1016,827.0,0,35.74,"20,895",Kepler,Transit
Kepler-1310 b,Kepler-1310,b,2016,0.68,1.44,3447.0,"57,643",2.7,0.8911,2095.0,0,2830.91,"35,820",Kepler,Transit
Kepler-1311 b,Kepler-1311,b,2016,11.17,1.24,1892.0,"49,637",2.1,1.0835,1231.0,0,296.92,"30,845",Kepler,Transit
Kepler-1311 c,Kepler-1311,c,2016,2.54,1.22,3065.0,"48,837",2.0,1.0871,1883.0,0,2144.55,"30,348",Kepler,Transit
Kepler-1312 b,Kepler-1312,b,2016,5.45,2.1,1818.0,"84,063",5.1,0.5445,1190.0,0,219.12,"52,238",Kepler,Transit
Kepler-1313 b,Kepler-1313,b,2016,3.83,1.76,1879.0,"70,453",3.8,0.686,1224.0,0,227.2,"43,780",Kepler,Transit
Kepler-1314 b,Kepler-1314,b,2016,5.42,5.11,1183.0,"204,554",22.9,0.1711,837.0,0,36.05,"127,112",Kepler,Transit
Kepler-1315 b,Kepler-1315,b,2016,0.84,1.38,2831.0,"55,242",2.5,0.9419,1753.0,0,897.9,"34,328",Kepler,Transit
Kepler-1316 b,Kepler-1316,b,2016,87.97,3.54,860.0,"141,707",12.3,0.2759,658.0,0,10.71,"88,058",Kepler,Transit
Kepler-1317 b,Kepler-1317,b,2016,0.57,1.56,3290.0,"62,447",3.0,0.8004,2008.0,0,2413.26,"38,805",Kepler,Transit
Kepler-1318 b,Kepler-1318,b,2016,213.26,3.11,421.0,"124,494",9.8,0.3267,414.0,0,0.49,"77,362",Kepler,Transit
Kepler-1319 b,Kepler-1319,b,2016,2.89,1.34,1060.0,"53,640",2.4,0.9782,769.0,0,38.45,"33,333",Kepler,Transit
Kepler-132 b,Kepler-132,b,2014,6.18,1.21,2005.0,"48,437",1.9,1.0817,1294.0,0,292.35,"30,099",Kepler,Transit
Kepler-132 c,Kepler-132,c,2014,6.41,1.28,1982.0,"51,239",2.2,1.0363,1281.0,0,278.29,"31,840",Kepler,Transit
Kepler-132 d,Kepler-132,d,2014,18.01,1.55,1422.0,"62,047",3.0,0.8094,970.0,0,70.21,"38,556",Kepler,Transit
Kepler-132 e,Kepler-132,e,2016,110.29,1.18,803.0,"47,236",1.8,1.069,626.0,0,6.27,"29,353",Kepler,Transit
Kepler-1320 b,Kepler-1320,b,2016,0.87,1.7,2558.0,"68,051",3.5,0.7169,1601.0,0,672.11,"42,288",Kepler,Transit
Kepler-1321 b,Kepler-1321,b,2016,11.13,4.92,792.0,"196,948",21.5,0.18,620.0,0,13.55,"122,386",Kepler,Transit
Kepler-1321 c,Kepler-1321,c,2016,2.23,2.4,1312.0,"96,072",6.4,0.4574,909.0,0,115.91,"59,700",Kepler,Transit
Kepler-1322 b,Kepler-1322,b,2016,0.96,1.61,3056.0,"64,449",3.2,0.7695,1878.0,0,2651.42,"40,049",Kepler,Transit
Kepler-1323 b,Kepler-1323,b,2016,0.93,1.52,4181.0,"60,846",2.9,0.8294,2503.0,0,5067.6,"37,810",Kepler,Transit
Kepler-1324 b,Kepler-1324,b,2016,4.12,1.51,1669.0,"60,446",2.9,0.8367,1107.0,0,98.41,"37,561",Kepler,Transit
Kepler-1325 b,Kepler-1325,b,2016,33.88,2.86,1073.0,"114,486",8.6,0.3648,776.0,0,18.15,"71,143",Kepler,Transit
Kepler-1326 b,Kepler-1326,b,2016,42.35,4.18,1746.0,"167,326",16.3,0.2232,1150.0,0,47.84,"103,978",Kepler,Transit
Kepler-1327 b,Kepler-1327,b,2016,14.89,1.8,1553.0,"72,054",3.9,0.6661,1043.0,0,112.85,"44,775",Kepler,Transit
Kepler-1328 b,Kepler-1328,b,2016,4.52,0.98,2243.0,"39,230",0.9,0.9583,1426.0,0,545.67,"24,378",Kepler,Transit
Kepler-1329 b,Kepler-1329,b,2016,9.34,2.17,1096.0,"86,865",5.4,0.5227,789.0,0,26.64,"53,979",Kepler,Transit
Kepler-133 b,Kepler-133,b,2014,8.13,1.76,1931.0,"70,453",3.8,0.686,1253.0,0,408.58,"43,780",Kepler,Transit
Kepler-133 c,Kepler-133,c,2014,31.52,2.84,1251.0,"113,686",8.4,0.3684,875.0,0,67.16,"70,645",Kepler,Transit
Kepler-1330 b,Kepler-1330,b,2016,10.11,1.65,1640.0,"66,050",3.4,0.7459,1091.0,0,322.4,"41,044",Kepler,Transit
Kepler-1331 b,Kepler-1331,b,2016,0.79,1.05,2297.0,"42,032",1.2,1.0,1456.0,0,547.29,"26,119",Kepler,Transit
Kepler-1332 b,Kepler-1332,b,2016,11.87,1.37,1368.0,"54,841",2.4,0.951,940.0,0,77.56,"34,079",Kepler,Transit
Kepler-1333 b,Kepler-1333,b,2016,109.65,2.81,828.0,"112,485",8.3,0.3739,640.0,0,3.3,"69,899",Kepler,Transit
Kepler-1334 b,Kepler-1334,b,2016,15.65,2.29,1336.0,"91,669",5.9,0.4864,922.0,0,78.36,"56,964",Kepler,Transit
Kepler-1335 b,Kepler-1335,b,2016,6.26,1.45,1514.0,"58,044",2.7,0.8838,1021.0,0,80.74,"36,069",Kepler,Transit
Kepler-1336 b,Kepler-1336,b,2016,23.2,1.98,1485.0,"79,260",4.6,0.588,1005.0,0,103.72,"49,253",Kepler,Transit
Kepler-1336 c,Kepler-1336,c,2016,5.78,1.71,2326.0,"68,452",3.6,0.7114,1472.0,0,662.71,"42,536",Kepler,Transit
Kepler-1337 b,Kepler-1337,b,2016,24.4,2.41,844.0,"96,473",6.4,0.4555,649.0,0,9.18,"59,949",Kepler,Transit
Kepler-1338 b,Kepler-1338,b,2016,0.94,0.92,3881.0,"36,828",0.7,0.9238,2336.0,0,4712.11,"22,885",Kepler,Transit
Kepler-1339 b,Kepler-1339,b,2016,1.34,0.71,3013.0,"28,421",0.3,0.7949,1854.0,0,3094.82,"17,661",Kepler,Transit
Kepler-134 b,Kepler-134,b,2014,5.32,2.0,2047.0,"80,060",4.7,0.5808,1317.0,0,301.37,"49,750",Kepler,Transit
Kepler-134 c,Kepler-134,c,2014,10.11,1.26,1663.0,"50,438",2.1,1.0617,1104.0,0,128.09,"31,343",Kepler,Transit
Kepler-1340 b,Kepler-1340,b,2016,0.67,1.55,3971.0,"62,047",3.0,0.8094,2386.0,0,4793.0,"38,556",Kepler,Transit
Kepler-1341 b,Kepler-1341,b,2016,133.0,2.99,491.0,"119,690",9.2,0.3448,453.0,0,1.14,"74,377",Kepler,Transit
Kepler-1342 b,Kepler-1342,b,2016,2.22,1.66,2367.0,"66,450",3.4,0.7387,1495.0,0,559.27,"41,293",Kepler,Transit
Kepler-1343 b,Kepler-1343,b,2016,3.35,1.93,2387.0,"77,258",4.4,0.608,1506.0,0,1021.9,"48,009",Kepler,Transit
Kepler-1344 b,Kepler-1344,b,2016,4.77,1.84,2252.0,"73,656",4.0,0.6461,1431.0,0,425.17,"45,770",Kepler,Transit
Kepler-1345 b,Kepler-1345,b,2016,44.62,2.36,1305.0,"94,471",6.2,0.4682,905.0,0,68.47,"58,705",Kepler,Transit
Kepler-1346 b,Kepler-1346,b,2016,3.4,1.58,2282.0,"63,248",3.1,0.7895,1448.0,0,545.58,"39,303",Kepler,Transit
Kepler-1347 b,Kepler-1347,b,2016,14.01,1.03,1168.0,"41,231",1.1,0.9855,829.0,0,34.32,"25,621",Kepler,Transit
Kepler-1348 b,Kepler-1348,b,2016,27.57,1.94,1202.0,"77,659",4.4,0.6044,848.0,0,49.66,"48,258",Kepler,Transit
Kepler-1349 b,Kepler-1349,b,2016,2.13,0.7,3060.0,"28,021",0.3,0.7877,1880.0,0,1862.33,"17,413",Kepler,Transit
Kepler-135 b,Kepler-135,b,2014,6.0,1.81,2234.0,"72,455",3.9,0.6606,1421.0,0,496.68,"45,024",Kepler,Transit
Kepler-135 c,Kepler-135,c,2014,11.45,1.16,1813.0,"46,435",1.6,1.0544,1187.0,0,209.97,"28,855",Kepler,Transit
Kepler-1350 b,Kepler-1350,b,2016,4.5,2.52,1021.0,"100,876",6.9,0.4301,747.0,0,27.18,"62,685",Kepler,Transit
Kepler-1350 c,Kepler-1350,c,2016,1.77,1.73,1372.0,"69,252",3.6,0.7005,942.0,0,94.05,"43,034",Kepler,Transit
Kepler-1351 b,Kepler-1351,b,2016,0.92,0.65,2239.0,"26,020",0.2,0.755,1424.0,0,421.96,"16,169",Kepler,Transit
Kepler-1352 b,Kepler-1352,b,2016,1.88,0.89,3119.0,"35,627",0.6,0.9056,1913.0,0,1892.59,"22,139",Kepler,Transit
Kepler-1353 b,Kepler-1353,b,2016,24.75,1.8,941.0,"72,054",3.9,0.6661,703.0,0,10.77,"44,775",Kepler,Transit
Kepler-1354 b,Kepler-1354,b,2016,76.61,2.97,896.0,"118,890",9.1,0.3466,678.0,0,18.86,"73,879",Kepler,Transit
Kepler-1355 b,Kepler-1355,b,2016,1.29,1.46,2664.0,"58,444",2.7,0.8748,1660.0,0,944.87,"36,318",Kepler,Transit
Kepler-1356 b,Kepler-1356,b,2016,0.63,1.53,3143.0,"61,246",3.0,0.824,1926.0,0,1966.06,"38,059",Kepler,Transit
Kepler-1357 b,Kepler-1357,b,2016,3.01,1.28,2176.0,"51,239",2.2,1.0363,1389.0,0,449.98,"31,840",Kepler,Transit
Kepler-1358 b,Kepler-1358,b,2016,7.06,1.12,1546.0,"44,834",1.5,1.0363,1039.0,0,98.83,"27,860",Kepler,Transit
Kepler-1359 b,Kepler-1359,b,2016,59.5,2.83,722.0,"113,285",8.4,0.3702,581.0,0,2.45,"70,397",Kepler,Transit
Kepler-136 b,Kepler-136,b,2014,11.58,2.05,1769.0,"82,062",19.8,2.2868,1163.0,0,257.98,"50,994",Kepler,Transit
Kepler-136 c,Kepler-136,c,2014,16.4,1.99,1582.0,"79,660",4.6,0.5844,1059.0,0,162.04,"49,502",Kepler,Transit
Kepler-1360 b,Kepler-1360,b,2016,40.53,3.4,1737.0,"136,103",11.5,0.2922,1145.0,0,82.56,"84,575",Kepler,Transit
Kepler-1361 b,Kepler-1361,b,2016,3.58,0.86,1967.0,"34,426",0.6,0.8875,1273.0,0,186.07,"21,393",Kepler,Transit
Kepler-1362 b,Kepler-1362,b,2016,136.21,2.6,504.0,"104,078",7.3,0.412,460.0,0,1.01,"64,675",Kepler,Transit
Kepler-1363 b,Kepler-1363,b,2016,2.94,1.25,1836.0,"50,038",2.1,1.0726,1200.0,0,191.92,"31,094",Kepler,Transit
Kepler-1364 b,Kepler-1364,b,2016,13.32,2.15,2396.0,"86,065",5.3,0.5281,1511.0,0,672.06,"53,482",Kepler,Transit
Kepler-1365 b,Kepler-1365,b,2016,7.7,0.92,1802.0,"36,828",0.7,0.9238,1181.0,0,456.25,"22,885",Kepler,Transit
Kepler-1365 c,Kepler-1365,c,2016,4.77,0.8,2104.0,"32,024",0.4,0.8512,1349.0,0,864.04,"19,900",Kepler,Transit
Kepler-1366 b,Kepler-1366,b,2016,2.16,1.43,1467.0,"57,243",2.6,0.8966,995.0,0,134.98,"35,571",Kepler,Transit
Kepler-1367 b,Kepler-1367,b,2016,1.57,0.92,1854.0,"36,828",0.7,0.9238,1210.0,0,225.23,"22,885",Kepler,Transit
Kepler-1368 b,Kepler-1368,b,2016,0.68,1.65,3811.0,"66,050",3.4,0.7459,2297.0,0,4849.26,"41,044",Kepler,Transit
Kepler-1369 b,Kepler-1369,b,2016,25.87,2.69,1258.0,"107,681",7.7,0.3938,879.0,0,37.16,"66,914",Kepler,Transit
Kepler-137 b,Kepler-137,b,2014,8.44,1.47,1393.0,"58,844",2.8,0.8657,954.0,0,86.33,"36,566",Kepler,Transit
Kepler-137 c,Kepler-137,c,2014,18.74,1.88,1080.0,"75,257",4.2,0.6298,780.0,0,29.77,"46,765",Kepler,Transit
Kepler-1370 b,Kepler-1370,b,2016,20.26,1.84,1444.0,"73,656",4.0,0.6461,982.0,0,132.59,"45,770",Kepler,Transit
Kepler-1370 c,Kepler-1370,c,2016,7.44,1.27,1993.0,"50,838",2.2,1.0472,1287.0,0,503.72,"31,591",Kepler,Transit
Kepler-1371 b,Kepler-1371,b,2016,3.45,0.73,1885.0,"29,222",0.3,0.8076,1227.0,0,414.76,"18,159",Kepler,Transit
Kepler-1371 c,Kepler-1371,c,2016,2.01,0.64,2246.0,"25,619",0.2,0.7459,1428.0,0,853.27,"15,920",Kepler,Transit
Kepler-1372 b,Kepler-1372,b,2016,1.31,1.27,3037.0,"50,838",2.2,1.0472,1867.0,0,2176.36,"31,591",Kepler,Transit
Kepler-1373 b,Kepler-1373,b,2016,1.29,1.16,3454.0,"46,435",1.6,1.0544,2099.0,0,10436.6,"28,855",Kepler,Transit
Kepler-1374 b,Kepler-1374,b,2016,10.65,2.29,1384.0,"91,669",5.9,0.4864,949.0,0,59.79,"56,964",Kepler,Transit
Kepler-1375 b,Kepler-1375,b,2016,3.3,1.74,2835.0,"69,653",3.7,0.6969,1755.0,0,2948.36,"43,283",Kepler,Transit
Kepler-1376 b,Kepler-1376,b,2016,5.31,1.05,1933.0,"42,032",1.2,1.0,1254.0,0,278.9,"26,119",Kepler,Transit
Kepler-1377 b,Kepler-1377,b,2016,0.74,1.25,3429.0,"50,038",2.1,1.0726,2085.0,0,2909.21,"31,094",Kepler,Transit
Kepler-1378 b,Kepler-1378,b,2016,11.95,2.2,1003.0,"88,066",5.5,0.5136,737.0,0,14.87,"54,725",Kepler,Transit
Kepler-1379 b,Kepler-1379,b,2016,0.88,1.3,2873.0,"52,039",2.2,1.0163,1776.0,0,1600.05,"32,338",Kepler,Transit
Kepler-138 b,Kepler-138,b,2014,10.31,0.522,855.0,"20,896",0.1,0.4719,655.0,0,6.81,"12,985",Kepler,Transit
Kepler-138 c,Kepler-138,c,2014,13.78,1.197,781.0,"47,916",2.0,1.1252,614.0,0,4.63,"29,776",Kepler,Transit
Kepler-138 d,Kepler-138,d,2014,23.09,1.212,666.0,"48,517",0.6,0.3811,550.0,0,2.32,"30,149",Kepler,Transit
Kepler-1380 b,Kepler-1380,b,2016,10.31,1.43,1472.0,"57,243",2.6,0.8966,998.0,0,90.1,"35,571",Kepler,Transit
Kepler-1381 b,Kepler-1381,b,2016,25.38,2.25,1226.0,"90,068",5.7,0.4973,861.0,0,29.7,"55,969",Kepler,Transit
Kepler-1382 b,Kepler-1382,b,2016,16.36,1.88,1784.0,"75,257",4.2,0.6298,1171.0,0,198.47,"46,765",Kepler,Transit
Kepler-1383 b,Kepler-1383,b,2016,13.91,1.41,1728.0,"56,443",2.6,0.9147,1140.0,0,231.4,"35,074",Kepler,Transit
Kepler-1384 b,Kepler-1384,b,2016,15.36,1.94,1152.0,"77,659",4.4,0.6044,820.0,0,32.23,"48,258",Kepler,Transit
Kepler-1385 b,Kepler-1385,b,2016,2.89,0.85,2619.0,"34,026",0.5,0.882,1635.0,0,1591.48,"21,144",Kepler,Transit
Kepler-1386 b,Kepler-1386,b,2016,6.74,1.24,1877.0,"49,637",2.1,1.0835,1223.0,0,196.53,"30,845",Kepler,Transit
Kepler-1387 b,Kepler-1387,b,2016,2.28,0.93,2079.0,"37,228",0.7,0.9292,1335.0,0,300.31,"23,134",Kepler,Transit
Kepler-1388 b,Kepler-1388,b,2016,12.29,2.59,839.0,"103,678",7.2,0.4138,646.0,0,17.67,"64,427",Kepler,Transit
Kepler-1388 c,Kepler-1388,c,2016,5.54,2.26,1076.0,"90,468",5.7,0.4955,778.0,0,51.04,"56,218",Kepler,Transit
Kepler-1388 d,Kepler-1388,d,2016,20.96,2.86,711.0,"114,486",8.6,0.3648,575.0,0,8.66,"71,143",Kepler,Transit
Kepler-1388 e,Kepler-1388,e,2016,37.63,2.46,596.0,"98,474",6.6,0.4428,511.0,0,3.97,"61,193",Kepler,Transit
Kepler-1389 b,Kepler-1389,b,2016,99.25,1.77,598.0,"70,853",3.8,0.6806,512.0,0,1.87,"44,029",Kepler,Transit
Kepler-139 b,Kepler-139,b,2014,15.77,2.94,1411.0,"117,689",9.0,0.3521,964.0,0,64.78,"73,133",Kepler,Transit
Kepler-139 c,Kepler-139,c,2014,157.07,3.38,688.0,"135,302",11.4,0.294,562.0,0,3.02,"84,078",Kepler,Transit
Kepler-1390 b,Kepler-1390,b,2016,6.48,1.18,1739.0,"47,236",1.8,1.069,1146.0,0,171.13,"29,353",Kepler,Transit
Kepler-1391 b,Kepler-1391,b,2016,54.41,1.68,981.0,"67,251",3.5,0.7278,725.0,0,33.34,"41,790",Kepler,Transit
Kepler-1392 b,Kepler-1392,b,2016,15.14,1.96,1343.0,"78,459",4.5,0.5953,926.0,0,61.42,"48,755",Kepler,Transit
Kepler-1393 b,Kepler-1393,b,2016,2.44,0.8,2306.0,"32,024",0.4,0.8512,1461.0,0,574.37,"19,900",Kepler,Transit
Kepler-1394 b,Kepler-1394,b,2016,3.94,1.39,3562.0,"55,642",2.5,0.9328,2159.0,0,2023.01,"34,576",Kepler,Transit
Kepler-1395 b,Kepler-1395,b,2016,3.78,0.8,2417.0,"32,024",0.4,0.8512,1523.0,0,730.53,"19,900",Kepler,Transit
Kepler-1396 b,Kepler-1396,b,2016,18.22,2.07,1472.0,"82,862",4.9,0.5554,998.0,0,71.82,"51,492",Kepler,Transit
Kepler-1397 b,Kepler-1397,b,2016,47.45,1.72,1049.0,"68,852",3.6,0.7078,763.0,0,58.1,"42,785",Kepler,Transit
Kepler-1398 b,Kepler-1398,b,2016,2.79,0.9,2776.0,"36,027",0.7,0.9111,1722.0,0,1249.49,"22,388",Kepler,Transit
Kepler-1398 c,Kepler-1398,c,2016,4.14,1.03,2441.0,"41,231",1.1,0.9855,1536.0,0,738.18,"25,621",Kepler,Transit
Kepler-1399 b,Kepler-1399,b,2016,1.64,1.25,2956.0,"50,038",2.1,1.0726,1822.0,0,1707.25,"31,094",Kepler,Transit
Kepler-14 b,Kepler-14,b,2011,6.79,12.732999999999999,2947.0,"509,704",2669.7,1.2886,1817.0,0,1029.51,"316,735",Kepler,Transit
Kepler-140 b,Kepler-140,b,2014,3.25,1.61,2399.0,"64,449",3.2,0.7695,1513.0,0,848.7,"40,049",Kepler,Transit
Kepler-140 c,Kepler-140,c,2014,91.35,1.8,828.0,"72,054",3.9,0.6661,640.0,0,9.96,"44,775",Kepler,Transit
Kepler-1400 b,Kepler-1400,b,2016,9.07,1.62,1363.0,"64,849",3.3,0.7641,937.0,0,44.52,"40,298",Kepler,Transit
Kepler-1401 b,Kepler-1401,b,2016,11.2,1.68,1512.0,"67,251",3.5,0.7278,1020.0,0,100.91,"41,790",Kepler,Transit
Kepler-1402 b,Kepler-1402,b,2016,2.03,0.76,3278.0,"30,423",0.4,0.824,2001.0,0,2491.12,"18,905",Kepler,Transit
Kepler-1403 b,Kepler-1403,b,2016,5.19,2.14,2286.0,"85,665",5.2,0.5318,1450.0,0,699.64,"53,233",Kepler,Transit
Kepler-1404 b,Kepler-1404,b,2016,15.93,2.01,1130.0,"80,461",4.7,0.5771,808.0,0,39.0,"49,999",Kepler,Transit
Kepler-1405 b,Kepler-1405,b,2016,28.23,3.96,1075.0,"158,519",14.9,0.2396,777.0,0,33.8,"98,506",Kepler,Transit
Kepler-1406 b,Kepler-1406,b,2016,11.63,1.1,1595.0,"44,033",1.4,1.0272,1066.0,0,125.89,"27,363",Kepler,Transit
Kepler-1407 b,Kepler-1407,b,2016,20.07,2.25,1544.0,"90,068",5.7,0.4973,1038.0,0,78.67,"55,969",Kepler,Transit
Kepler-1408 b,Kepler-1408,b,2016,3.0,0.89,2966.0,"35,627",0.6,0.9056,1828.0,0,1982.27,"22,139",Kepler,Transit
Kepler-1409 b,Kepler-1409,b,2016,0.76,1.04,3177.0,"41,631",1.1,0.9927,1945.0,0,1552.13,"25,870",Kepler,Transit
Kepler-141 b,Kepler-141,b,2014,3.11,0.69,1800.0,"27,621",0.3,0.7804,1180.0,0,228.66,"17,164",Kepler,Transit
Kepler-141 c,Kepler-141,c,2014,7.01,1.41,1386.0,"56,443",2.6,0.9147,950.0,0,77.41,"35,074",Kepler,Transit
Kepler-1410 b,Kepler-1410,b,2016,60.87,1.78,580.0,"71,254",3.8,0.8403,502.0,0,1.06,"44,278",Kepler,Transit
Kepler-1411 b,Kepler-1411,b,2016,86.12,2.82,851.0,"112,885",8.4,0.3721,653.0,0,8.93,"70,148",Kepler,Transit
Kepler-1412 b,Kepler-1412,b,2016,3.61,0.83,2572.0,"33,225",0.5,0.8693,1609.0,0,1087.78,"20,646",Kepler,Transit
Kepler-1413 b,Kepler-1413,b,2016,13.18,1.82,1247.0,"72,855",4.0,0.657,873.0,0,42.83,"45,273",Kepler,Transit
Kepler-1414 b,Kepler-1414,b,2016,3.52,1.23,1917.0,"49,237",2.0,1.0926,1245.0,0,209.46,"30,596",Kepler,Transit
Kepler-1415 b,Kepler-1415,b,2016,0.64,1.29,3380.0,"51,639",2.2,1.0272,2058.0,0,2138.08,"32,089",Kepler,Transit
Kepler-1416 b,Kepler-1416,b,2016,1.5,0.88,3424.0,"35,227",0.6,0.9002,2082.0,0,2658.55,"21,890",Kepler,Transit
Kepler-1417 b,Kepler-1417,b,2016,20.35,1.0,1309.0,"40,030",1.0,0.9691,907.0,0,114.33,"24,875",Kepler,Transit
Kepler-1418 b,Kepler-1418,b,2016,22.48,1.66,812.0,"66,450",3.4,0.7387,631.0,0,7.29,"41,293",Kepler,Transit
Kepler-1419 b,Kepler-1419,b,2016,42.52,2.86,976.0,"114,486",8.6,0.3648,722.0,0,21.24,"71,143",Kepler,Transit
Kepler-142 b,Kepler-142,b,2014,2.02,1.99,2932.0,"79,660",4.6,0.5844,1809.0,0,1247.91,"49,502",Kepler,Transit
Kepler-142 c,Kepler-142,c,2014,4.76,2.86,2219.0,"114,486",8.6,0.3648,1413.0,0,399.44,"71,143",Kepler,Transit
Kepler-142 d,Kepler-142,d,2014,41.81,2.16,1105.0,"86,465",5.3,0.5263,794.0,0,22.07,"53,730",Kepler,Transit
Kepler-1420 b,Kepler-1420,b,2016,6.7,1.28,1508.0,"51,239",2.2,1.0363,1018.0,0,131.53,"31,840",Kepler,Transit
Kepler-1421 b,Kepler-1421,b,2016,6.91,0.93,2234.0,"37,228",0.7,0.9292,1421.0,0,649.15,"23,134",Kepler,Transit
Kepler-1422 b,Kepler-1422,b,2016,18.61,2.02,1557.0,"80,861",4.7,0.5735,1045.0,0,156.9,"50,248",Kepler,Transit
Kepler-1423 b,Kepler-1423,b,2016,23.96,1.06,1391.0,"42,432",1.2,1.0054,953.0,0,71.16,"26,368",Kepler,Transit
