exoPlanetName,PlanetMassEst,PlanetRadiusEst,PlanetTempType,PlanetDetection,DiscoverYr,StarConst,PotHabitableOptimistic,PotHabitableConservative,LastUpdate,StarRadius
HD 99109 b,139.84432,14.273013,Warm,Radial Velocity,2005,Lion,1,1,9/6/2018,133.78175
HIP 109384 b,495.81168,13.499887,Warm,Radial Velocity,2016,Cepheus,1,1,2/25/2016,67.14882
HIP 109600 b,851.77905,13.182254,Warm,Radial Velocity,2016,Winged Horse,1,0,2/25/2016,67.14882
HIP 12961 b,114.41808,13.180399,Warm,Radial Velocity,2010,River,1,0,9/6/2018,67.14882
HIP 41378 d,0,0,Warm,Transit,2016,Crab,1,1,6/13/2019,67.14882
HIP 41378 f,0,0,Warm,Transit,2016,Crab,1,1,6/13/2019,75.48928
HIP 5158 b,305.11488,13.791378,Warm,Radial Velocity,2009,Whale,1,1,9/6/2018,75.48928
HIP 67537 b,3527.8908,12.383214,Warm,Radial Velocity,2017,Centaur,1,0,4/27/2017,78.944663
HIP 67851 c,1900.6115,12.724853,Warm,Radial Velocity,2015,Centaur,1,0,6/4/2015,119.77435
HIP 79431 b,667.43881,13.324471,Warm,Radial Velocity,2009,Scorpion,1,1,1/31/2019,144.00682
KELT-6 c,1179.1419,12.994966,Warm,Radial Velocity,2015,Berenice's Hair,1,1,9/3/2015,144.00682
KIC 10525077 b,25.978928,5.50411,Warm,Transit,2015,Swan,1,1,1/5/2016,144.00682
KIC 5437945 b,33.567528,6.40091,Warm,Transit,2015,Lyre,1,0,1/5/2016,164.64624
KIC 5951458 b,35.383781,6.60269,Warm,Transit,2015,Lyre,1,1,1/5/2016,200.7364
KIC 9663113 b,19.128815,4.5961,Warm,Transit,2015,Swan,1,1,1/5/2016,242.26309
Kepler-90 h,88.100044,11.29968,Warm,Transit,2013,Dragon,1,0,5/14/2014,259.00266
Kepler-1058 b,7.8702326,2.72403,Warm,Transit,2016,Swan,1,0,5/10/2016,259.00266
Kepler-1086 c,8.9432821,2.93702,Warm,Transit,2016,Swan,1,1,5/10/2016,165.83414
Kepler-1097 b,10.688141,3.26211,Warm,Transit,2016,Lyre,1,0,5/10/2016,336.32102
Kepler-1143 c,12.625501,3.59841,Warm,Transit,2016,Lyre,1,1,5/10/2016,173.86229
Kepler-1318 b,9.8298521,3.10517,Warm,Transit,2016,Lyre,1,1,5/10/2016,175.54622
Kepler-1341 b,9.2349758,2.99307,Warm,Transit,2016,Lyre,1,1,5/10/2016,199.19382
Kepler-1362 b,7.2749643,2.60072,Warm,Transit,2016,Lyre,1,0,5/10/2016,210.26329
Kepler-150 f,12.893769,3.64325,Warm,Transit,2017,Lyre,1,1,4/13/2017,229.86177
Kepler-1519 b,39.666389,7.0623,Warm,Transit,2016,Swan,1,0,5/10/2016,229.86177
Kepler-1545 b,7.7605729,2.70161,Warm,Transit,2016,Swan,1,0,5/10/2016,229.86177
Kepler-1549 b,7.1159697,2.56709,Warm,Transit,2016,Lyre,1,1,5/10/2016,246.3526
Kepler-1554 b,8.7701168,2.90339,Warm,Transit,2016,Lyre,1,0,5/10/2016,254.53688
Kepler-1593 b,10.194074,3.17243,Warm,Transit,2016,Swan,1,1,5/10/2016,259.74509
Kepler-16 b,105.83672,8.45234,Warm,Transit,2011,Swan,1,1,5/14/2014,259.74509
Kepler-1600 b,9.950654,3.12759,Warm,Transit,2016,Lyre,1,1,5/10/2016,259.74509
Kepler-1625 b,30.628454,6.06461,Warm,Transit,2016,Swan,1,1,5/10/2016,259.74509
Kepler-1628 b,33.867504,6.43454,Warm,Transit,2016,Lyre,1,1,5/10/2016,259.74509
Kepler-1634 b,10.316689,3.19485,Warm,Transit,2016,Swan,1,1,5/10/2016,262.16644
Kepler-1635 b,12.893769,3.64325,Warm,Transit,2016,Lyre,1,1,5/10/2016,262.54669
Kepler-1636 b,10.50174,3.22848,Warm,Transit,2016,Swan,1,1,5/10/2016,262.54669
Kepler-1647 b,482.99686,11.87139,Warm,Transit,2016,Swan,1,1,5/19/2016,262.54669
Kepler-309 c,6.8541965,2.51104,Warm,Transit,2014,Swan,1,0,5/14/2014,262.54669
Kepler-315 c,16.069294,4.1477,Warm,Transit,2014,Swan,1,0,5/14/2014,263.89368
Kepler-34 b,69.922161,8.56444,Warm,Transit,2011,Swan,1,0,5/14/2014,264.10791
Kepler-419 c,2320.1444,12.613667,Warm,Transit Timing Variations,2014,Swan,1,0,6/25/2014,323.39157
Kepler-424 c,2215.2612,12.639368,Warm,Radial Velocity,2014,Swan,1,0,10/3/2014,323.39157
Kepler-453 b,15.999462,6.19913,Warm,Transit,2015,Lyre,1,1,3/15/2018,332.41812
Kepler-454 c,1417.5129,12.890117,Warm,Radial Velocity,2015,Lyre,1,1,12/3/2015,32.608059
Kepler-553 c,86.768715,11.19879,Warm,Transit,2016,Swan,1,1,5/10/2016,343.31973
Kepler-68 d,244.72756,13.925859,Warm,Radial Velocity,2013,Swan,1,1,6/13/2019,343.31973
Kepler-712 c,20.986141,4.85393,Warm,Transit,2016,Swan,1,1,5/10/2016,343.31973
Kepler-967 c,12.961199,3.65446,Warm,Transit,2016,Lyre,1,1,5/10/2016,343.31973
Kepler-97 c,343.25424,13.72009,Warm,Radial Velocity,2014,Swan,1,1,5/14/2014,35.561016
Kepler-991 b,7.010777,2.54467,Warm,Transit,2016,Swan,1,0,5/10/2016,351.77014
PH2 b,73.09166,10.12263,Warm,Transit,2013,Swan,1,0,5/14/2014,351.77014
WASP-41 c,1010.693,13.083405,Warm,Radial Velocity,2015,Centaur,1,1,10/15/2015,351.77014
WASP-47 c,398.19717,13.63075,Warm,Radial Velocity,2015,Water Carrier,1,1,6/21/2018,237.30043
