exoPlanetName,PlanetMassEst,PlanetRadiusEst,PlanetTempType,PlanetDetection,DiscoverYr,StarConst,PotHabitableOptimistic,PotHabitableConservative,LastUpdate,StarRtAsc,StarDistance
HIP 79431 b,667.43881,13.324471,Warm,Radial Velocity,2009,Scorpion,1,1,1/31/2019,243.17406,14.54
K2-18 b,8.921432,2.36531,Warm,Transit,2015,Lion,1,0,3/21/2019,172.56045,38.07
K2-288 B b,4.2910395,1.9057,Warm,Transit,2018,Bull,1,1,1/10/2019,55.443439,65.72
K2-296 b,4.1554556,1.87,Warm,Transit,2019,Virgin,1,0,5/23/2019,179.70592,160
K2-3 d,2.9012671,1.51335,Warm,Transit,2015,Lion,1,0,7/7/2016,172.33495,44.13
K2-72 e,2.2098374,1.28915,Warm,Transit,2016,Water Carrier,1,0,10/26/2017,334.62198,66.56
K2-9 b,5.702589,2.25321,Warm,Transit,2015,Virgin,1,0,1/21/2016,176.26447,83.16
KELT-6 c,1179.1419,12.994966,Warm,Radial Velocity,2015,Berenice's Hair,1,1,9/3/2015,195.98187,242.39
Kepler-1058 b,7.8702326,2.72403,Warm,Transit,2016,Swan,1,0,5/10/2016,294.59578,525
Kepler-1086 c,8.9432821,2.93702,Warm,Transit,2016,Swan,1,1,5/10/2016,295.25115,464
Kepler-1090 b,5.702589,2.25321,Warm,Transit,2016,Swan,1,0,5/10/2016,295.66287,702
Kepler-1097 b,10.688141,3.26211,Warm,Transit,2016,Lyre,1,0,5/10/2016,281.59415,738
Kepler-1143 c,12.625501,3.59841,Warm,Transit,2016,Lyre,1,1,5/10/2016,287.30282,632
Kepler-1229 b,2.5458987,1.40125,Warm,Transit,2016,Swan,1,1,5/10/2016,297.48669,236
Kepler-1318 b,9.8298521,3.10517,Warm,Transit,2016,Lyre,1,1,5/10/2016,290.37631,475
Kepler-1341 b,9.2349758,2.99307,Warm,Transit,2016,Lyre,1,1,5/10/2016,280.51177,466
Kepler-1362 b,7.2749643,2.60072,Warm,Transit,2016,Lyre,1,0,5/10/2016,288.53854,767
Kepler-1410 b,3.8303511,1.78239,Warm,Transit,2016,Lyre,1,0,5/10/2016,290.5102,367
Kepler-150 f,12.893769,3.64325,Warm,Transit,2017,Lyre,1,1,4/13/2017,288.23408,914.4
Kepler-1519 b,39.666389,7.0623,Warm,Transit,2016,Swan,1,0,5/10/2016,296.6679,858
Kepler-1540 b,6.7506189,2.48862,Warm,Transit,2016,Lyre,1,1,5/10/2016,283.3445,262
Kepler-1544 b,3.8303511,1.78239,Warm,Transit,2016,Swan,1,1,5/10/2016,297.28499,349
Kepler-1545 b,7.7605729,2.70161,Warm,Transit,2016,Swan,1,0,5/10/2016,298.89876,688
Kepler-1549 b,7.1159697,2.56709,Warm,Transit,2016,Lyre,1,1,5/10/2016,286.05243,792
Kepler-1552 b,6.6476898,2.4662,Warm,Transit,2016,Lyre,1,1,5/10/2016,291.67683,618
Kepler-1554 b,8.7701168,2.90339,Warm,Transit,2016,Lyre,1,0,5/10/2016,286.57616,982
Kepler-1593 b,10.194074,3.17243,Warm,Transit,2016,Swan,1,1,5/10/2016,300.48818,755
Kepler-16 b,105.83672,8.45234,Warm,Transit,2011,Swan,1,1,5/14/2014,289.07571,75.25
Kepler-1600 b,9.950654,3.12759,Warm,Transit,2016,Lyre,1,1,5/10/2016,291.39938,992
Kepler-1606 b,4.9534779,2.07385,Warm,Transit,2016,Lyre,1,0,5/10/2016,286.37826,880
Kepler-1625 b,30.628454,6.06461,Warm,Transit,2016,Swan,1,1,5/10/2016,295.42935,1213
Kepler-1628 b,33.867504,6.43454,Warm,Transit,2016,Lyre,1,1,5/10/2016,281.6337,352
Kepler-1632 b,6.6476898,2.4662,Warm,Transit,2016,Swan,1,0,5/10/2016,294.49486,584
Kepler-1634 b,10.316689,3.19485,Warm,Transit,2016,Swan,1,1,5/10/2016,294.04341,654
Kepler-1635 b,12.893769,3.64325,Warm,Transit,2016,Lyre,1,1,5/10/2016,285.34899,1084
Kepler-1636 b,10.50174,3.22848,Warm,Transit,2016,Swan,1,1,5/10/2016,294.05762,1567
Kepler-1638 b,4.1632686,1.87207,Warm,Transit,2016,Swan,1,0,5/10/2016,295.48241,879
Kepler-1647 b,482.99686,11.87139,Warm,Transit,2016,Swan,1,1,5/19/2016,298.15009,1256
Kepler-1652 b,3.1991632,1.60303,Warm,Transit,2017,Swan,1,1,11/16/2017,294.36608,252
Kepler-1653 b,5.369523,2.17474,Warm,Transit,2017,Swan,1,1,11/16/2017,296.45776,755
Kepler-174 d,5.4165988,2.18595,Warm,Transit,2014,Lyre,1,1,5/14/2014,287.43919,389.07
Kepler-186 f,1.6844027,1.16584,Warm,Transit,2014,Swan,1,1,1/14/2015,298.65271,172
Kepler-22 b,6.2425017,2.37652,Warm,Transit,2011,Swan,1,1,5/14/2014,289.21748,190
Kepler-26 e,6.3932195,2.41015,Warm,Transit,2014,Lyre,1,0,5/14/2014,284.941,338.55
Kepler-283 c,3.9538581,1.81602,Warm,Transit,2014,Swan,1,1,5/14/2014,293.61373,474.33
Kepler-296 e,2.9378483,1.52456,Warm,Transit,2014,Dragon,1,0,9/3/2015,286.54001,226
Kepler-296 f,3.9125102,1.80481,Warm,Transit,2014,Dragon,1,1,9/3/2015,286.54001,226
Kepler-298 d,6.8023267,2.49983,Warm,Transit,2014,Dragon,1,0,5/14/2014,283.03979,525.98
Kepler-309 c,6.8541965,2.51104,Warm,Transit,2014,Swan,1,0,5/14/2014,297.50985,553.2
Kepler-315 c,16.069294,4.1477,Warm,Transit,2014,Swan,1,0,5/14/2014,298.0231,1199.5
Kepler-34 b,69.922161,8.56444,Warm,Transit,2011,Swan,1,0,5/14/2014,296.43582,1499
Kepler-419 c,2320.1444,12.613667,Warm,Transit Timing Variations,2014,Swan,1,0,6/25/2014,295.4179,1041.31
Kepler-424 c,2215.2612,12.639368,Warm,Radial Velocity,2014,Swan,1,0,10/3/2014,298.62489,712.87
Kepler-440 b,4.2910395,1.9057,Warm,Transit,2015,Lyre,1,0,1/6/2015,285.34995,261
