name,host_star,ltr,disc_year,orb_period_ed,radius_e,circumference_k,circumference_m,mass_e,density_e,temp_c,temp_f,habit_code,solar_flux,disc_facility,disc_method
Kepler-749 b,Kepler-749,b,2016,17.32,3.1,124094,77113,9.8,0.3285,181,358,0,24.63,Kepler,Transit
Kepler-75 b,Kepler-75,b,2013,8.88,11.77,471155,292780,3209.9,1.9964,494,921,0,106.48,Kepler,Transit
Kepler-750 b,Kepler-750,b,2016,9.43,3.07,122893,76367,9.6,0.3321,890,1634,0,255.74,Kepler,Transit
Kepler-750 c,Kepler-750,c,2016,4.09,1.62,64849,40298,3.3,0.7641,1264,2307,0,778.59,Kepler,Transit
Kepler-751 b,Kepler-751,b,2016,17.44,2.46,98474,61193,6.6,0.4428,406,763,0,39.01,Kepler,Transit
Kepler-752 b,Kepler-752,b,2016,18.83,2.81,112485,69899,8.3,0.3739,359,678,0,45.28,Kepler,Transit
Kepler-753 b,Kepler-753,b,2016,5.75,1.91,76458,47511,4.3,0.6171,368,694,0,41.67,Kepler,Transit
Kepler-754 b,Kepler-754,b,2016,14.56,2.01,80461,49999,4.7,0.5771,485,905,0,216.47,Kepler,Transit
Kepler-755 b,Kepler-755,b,2016,1.27,1.76,70453,43780,3.8,0.686,1058,1936,0,889.89,Kepler,Transit
Kepler-755 c,Kepler-755,c,2016,2.85,1.26,50438,31343,2.1,1.0617,743,1369,0,302.57,Kepler,Transit
Kepler-756 b,Kepler-756,b,2016,1.22,1.12,44834,27860,1.5,1.0363,1468,2674,0,2174.33,Kepler,Transit
Kepler-757 b,Kepler-757,b,2016,1.02,1.36,54441,33830,2.4,0.9601,1461,2662,0,3345.45,Kepler,Transit
Kepler-758 b,Kepler-758,b,2016,12.11,2.48,99275,61690,6.7,0.4392,732,1350,0,349.19,Kepler,Transit
Kepler-758 c,Kepler-758,c,2016,4.76,1.69,67651,42039,3.5,0.7223,1099,2010,0,1211.82,Kepler,Transit
Kepler-758 d,Kepler-758,d,2016,20.5,2.12,84864,52735,5.1,0.5372,570,1058,0,173.17,Kepler,Transit
