name,host_star,ltr,disc_year,orb_period_ed,radius_e,circumference_k,circumference_m,mass_e,density_e,solar_flux,habit_code,habzone,temp_c,temp_f,temp_class,type,disc_facility,disc_method,star,type,temp_k,radius_s,mass_s,bright,gravity,age,density,gal_lat,gal_long,distance,num_stars,num_planets,num_moons
CoRoT-13 b,CoRoT-13,b,2010,4.04,9.92,"397,099","246,761",415.7,0.4247,,0.0,0.0,1427.0,2601.0,Hot,Jovian,CoRoT,Transit,CoRoT-13,G0 V,5945,1.01,1.09,0.06,4.46,1.635,1.468,-2.439665,217.3986,1148.93,1,1,0
CoRoT-14 b,CoRoT-14,b,2010,1.51,12.22,"489,169","303,974",2415.4,1.3249,,0.0,0.0,1679.0,3054.0,Hot,Jovian,CoRoT,Transit,CoRoT-14,F9 V,6035,1.21,1.13,0.244,4.35,4.2,0.91,-2.020584,218.1179,1744.6,1,1,0
CoRoT-16 b,CoRoT-16,b,2011,5.35,13.11,"524,796","326,113",170.0,0.0799,,0.0,0.0,,,Hot,Jovian,CoRoT,Transit,CoRoT-16,G5 V,5650,1.19,1.1,0.115,4.36,6.73,0.93,1.101121,25.61436,732.409,1,1,0
CoRoT-17 b,CoRoT-17,b,2011,3.77,11.43,"457,545","284,323",772.3,0.5118,,0.0,0.0,1353.0,2467.0,Hot,Jovian,CoRoT,Transit,CoRoT-17,G2 V,5740,1.59,1.04,0.394,4.4,10.7,0.32,0.6663113,25.15303,1176.12,1,1,0
CoRoT-18 b,CoRoT-18,b,2011,1.9,14.68,"587,643","365,167",1102.8,0.3993,,0.0,0.0,1277.0,2331.0,Hot,Jovian,CoRoT,Transit,CoRoT-18,G9 V,5440,1,0.95,-0.17,4.4,0.032,1.35,-4.18491,210.8191,764.889,1,1,0
CoRoT-19 b,CoRoT-19,b,2011,3.9,14.46,"578,836","359,694",352.8,0.1289,,0.0,0.0,1727.0,3141.0,Hot,Jovian,CoRoT,Transit,CoRoT-19,F9 V,6090,1.65,1.21,0.544,4.07,5,0.38,-5.261257,210.4205,790.663,1,1,0
CoRoT-2 b,CoRoT-2,b,2008,1.74,16.432,"657,776","408,748",1102.8,0.2668,,0.0,0.0,1248.0,2278.0,Hot,Jovian,CoRoT,Transit,CoRoT-2,,5625,0.91,0.96,-0.131,4.53,2.7,1.814,-7.291006,38.26271,213.283,2,1,0
CoRoT-20 b,CoRoT-20,b,2011,9.24,9.416,"376,924","234,224",1366.7,1.6098,,0.0,0.0,751.0,1384.0,,Jovian,CoRoT,Transit,CoRoT-20,G2 V,5880,1.02,1.14,0.17,4.35,0.1,1.51,-4.468593,210.3812,844.061,1,2,0
CoRoT-20 c,CoRoT-20,c,2018,1675.0,12.2,"488,368","303,477",5403.1,2.9764,,0.0,0.0,,,,Jovian,Multiple Observatories,Radial Velocity,CoRoT-20,G2 V,5880,1.02,1.14,0.17,4.35,0.1,1.51,-4.468593,210.3812,844.061,1,2,0
CoRoT-21 b,CoRoT-21,b,2012,2.72,14.572,"583,320","362,480",718.3,0.2468,,0.0,0.0,,,Hot,Jovian,CoRoT,Transit,CoRoT-21,F8 IV,6200,1.95,1.29,0.705,3.7,4.1,0.255,-1.744431,212.3742,,1,1,0
CoRoT-22 b,CoRoT-22,b,2014,9.76,4.88,"195,347","121,391",12.2,0.0452,,0.0,0.0,612.0,1134.0,Hot,Neptunian,CoRoT,Transit,CoRoT-22,G3 V,5939,1.14,1.1,0.161,4.36,3.3,1.027,4.775004,37.48306,627.158,1,1,0
CoRoT-23 b,CoRoT-23,b,2011,3.63,11.77,"471,155","292,780",889.9,0.5445,,0.0,0.0,1387.0,2529.0,Hot,Jovian,CoRoT,Transit,CoRoT-23,G0 V,5900,1.61,1.14,0.452,4.3,7.2,0.5,4.719595,35.41752,1060.97,1,1,0
CoRoT-24 b,CoRoT-24,b,2014,5.11,3.7,"148,112","92,038",5.7,0.1633,,0.0,0.0,797.0,1467.0,Hot,Neptunian,CoRoT,Transit,CoRoT-24,K1 V,4950,0.86,0.91,-0.397,4.55,11,,-2.527633,215.8175,591.555,1,2,0
CoRoT-24 c,CoRoT-24,c,2014,11.76,5.0,"200,151","124,376",28.0,0.2359,,0.0,0.0,577.0,1071.0,Hot,Neptunian,CoRoT,Transit,CoRoT-24,K1 V,4950,0.86,0.91,-0.397,4.55,11,,-2.527633,215.8175,591.555,1,2,0
