star,type,temp_k,radius_s,mass_s,bright,gravity,age,density,gal_lat,gal_long,distance,num_stars,num_planets,num_moons
K2-64,,5312,0.73,0.74,-0.234,4.58,,1.97545,-48.95738,47.37581,499.891,1,1,0
K2-65,,5213,0.84,0.87,-0.328,4.53,,,-49.40046,48.62803,,1,1,0
K2-66,,5887,1.67,1.11,0.48,4.03,,,-47.84963,47.69528,513.877,1,1,0
K2-68,,4746,0.68,0.73,-0.681,4.63,,,-49.91423,49.71436,168.652,1,1,0
K2-69,,4127,0.49,0.55,-1.2,4.79,,,-51.35107,51.18298,180.697,1,1,0
K2-7,,5772,0.96,0.97,-0.035,3.82,,,52.45592,257.4343,738.553,1,1,0
K2-70,,5622,0.93,0.94,-0.429,4.48,,2.39642,-53.41585,54.04165,232.964,1,1,0
K2-71,,4006,0.43,0.48,-1.38,4.85,,,-55.96924,57.39793,153.192,1,1,0
K2-72,,3360.47,0.33,0.27,-1.837,4.9,,12.2977,-49.93976,51.45996,66.4321,1,4,0
K2-73,,5922,1.06,1.05,0.076,4.41,,1.26589,-49.98848,52.52067,269.183,1,1,0
K2-74,,6060,0.98,0.96,0.068,4.44,,,-53.84043,57.29696,377.822,1,1,0
K2-75,,5995,1.56,1.16,0.453,4.12,,,-52.25339,57.96684,561.93,1,2,0
K2-77,,4970,0.76,0.8,-0.5,4.47,0.85,2.5,-32.85517,174.4666,141.731,1,1,0
K2-79,,5926,1.28,1.06,0.261,4.25,,,-32.1708,173.6902,256.011,1,1,0
K2-8,K3 V,4870,0.74,0.78,-0.556,4.52,,2.36326,54.74242,260.1896,403.513,1,2,0
K2-80,,5441,0.87,0.9,-0.272,4.52,,,-29.48287,176.6122,200.802,1,3,0
K2-81,,4674.13,0.63,0.75,-0.569,4.67,,2.51722,-29.9367,174.6345,252.318,1,1,0
K2-83,,3910,0.42,0.48,-1.204,4.86,,4.4018,-27.51363,175.5818,125.529,1,2,0
K2-84,,5652,0.93,0.95,-0.099,4.48,,,-29.57964,171.5811,284.876,1,2,0
K2-85,,4268,0.51,0.57,-0.812,4.78,,2.35191,-25.81972,172.8977,97.2179,1,1,0
K2-86,,5482,0.76,0.79,-0.327,4.58,,,-30.83115,166.5514,258.699,1,1,0
K2-87,,5747,1.4,1.16,0.286,4.21,,0.59,-20.81558,177.2903,491.242,1,1,0
K2-88,,3537,0.26,0.26,-1.545,5.02,,7.18129,-28.46386,168.7922,110.561,1,1,0
K2-89,,3691,0.32,0.35,-1.327,4.96,,4.89287,-25.99751,169.5521,86.0386,1,1,0
K2-9,M2.5 V,3390,0.31,0.3,-1.921,4.82,1,9.88,58.53508,269.7595,82.9631,1,1,0
K2-90,,4484,0.62,0.63,-0.953,4.65,,3.74,-23.20124,169.5477,134.188,1,2,0
K2-91,,3622,0.28,0.29,-1.841,5,,10.36688,-19.32473,171.0297,62.5785,1,1,0
K2-95,M3.0,3548,0.42,0.44,-1.635,4.84,0.79,1.12,31.59081,206.3941,179.854,1,1,0
K2-97,,4717,4.47,1.2,0.951,3.22,7.8,0.279,26.99306,214.2879,878.43,1,1,0
K2-98,F8 V,6172,1.57,1.2,0.504,4.13,5.2,0.633,26.1381,213.0265,518.625,1,1,0
K2-99,G0 IV,6217,2.63,1.63,0.961,3.81,2.4,0.099,53.97599,330.5855,519.229,1,1,0
KELT-1,,6518,1.46,1.32,0.542,4.25,,0.62059,-22.47356,112.5039,268.43,1,1,0
KELT-10,G0 V,5948,1.21,1.11,0.217,4.32,4.5,0.889,-20.57241,349.6586,188.404,1,1,0
KELT-11,,5375,2.69,1.44,0.744,3.7,,0.104,42.60628,259.031,99.1596,1,1,0
KELT-12,,6279,2.37,1.59,0.892,3.89,2.2,0.168,27.34279,62.18915,368.03,1,1,0
KELT-14,G4,5720,1.52,1.24,0.279,4.17,5.11,0.495,-14.19418,253.6298,250.121,1,1,0
KELT-15,,6003,1.78,2.06,0.412,4.17,,0.51,-12.86033,265.3722,324.683,2,1,0
KELT-16,F7 V,6236,1.36,1.21,0.401,4.25,3.1,0.679,-8.942292,75.59225,444.586,2,1,0
KELT-17,A,7454,1.65,1.64,0.876,4.22,0.65,0.518,26.27662,210.3772,226.5,1,1,0
KELT-18,F4 V,6670,1.91,1.52,0.813,4.06,1.9,0.3111,53.81033,102.7146,321.376,2,1,0
KELT-19 A,A8 V,7500,1.83,1.62,0.978,4.13,,0.376,11.13399,210.0124,300.276,2,1,0
KELT-2 A,,6327,1.93,1.54,0.731,4.5,3.97,0.3,5.708191,180.9502,134.058,2,1,0
KELT-20,A2 V,8720,1.56,1.76,1.104,4.29,0.6,0.641,4.627309,65.80769,136.426,1,1,0
KELT-21,A8 V,7598,1.64,1.46,0.905,4.17,1.6,0.468,-1.986487,71.48137,470.878,1,1,0
KELT-23 A,G2 V,5899,1,0.94,0.034,4.42,6.4,1.349,43.9431,102.2822,126.261,2,1,0
KELT-24,,6509,1.51,1.46,0.565,4.25,0.78,0.603,42.30148,135.5729,96.5173,1,1,0
